Area code,Area of usual residence,Geography,"Persons
(Deaths)","Persons
(Rate)","Persons
(Unreliable marker)","Persons
(LCI)","Persons
(UCI)","Males
(Deaths)","Males
(Rate)","Males
(Unreliable marker)","Males
(LCI)","Males
(UCI)","Females
(Deaths)","Females
(Rate)","Females
(Unreliable marker)","Females
(LCI)","Females
(UCI)"
"K04000001, J99000001","England, Wales and Elsewhere",Country,"73,766",126.9,,126.0,127.8,"40,995",166.6,,164.9,168.2,"32,771",96.7,,95.7,97.8
E92000001,England,Country,"69,299",126.6,,125.6,127.5,"38,526",166.3,,164.6,168.0,"30,773",96.4,,95.3,97.5
E12000001,North East,Region,"4,467",166.8,,161.9,171.8,"2,230",199.9,,191.3,208.4,"2,237",142.1,,136.2,148.0
E06000047,County Durham,Unitary Authority,"1,028",194.8,,182.7,206.8,506,222.3,,202.2,242.5,522,172.2,,157.4,187.1
E06000005,Darlington,Unitary Authority,177,153.4,,130.7,176.1,89,190.8,,152.2,236.1,88,127.9,,102.4,157.8
E06000001,Hartlepool,Unitary Authority,168,176.9,,150.0,203.8,89,235.5,,187.9,291.2,79,137.7,,108.8,171.9
E06000002,Middlesbrough,Unitary Authority,241,212.6,,185.3,239.8,118,249.2,,201.7,296.7,123,180.7,,148.6,212.8
E06000057,Northumberland,Unitary Authority,454,113.8,,103.3,124.3,223,129.4,,112.1,146.7,231,100.0,,87.0,112.9
E06000003,Redcar and Cleveland,Unitary Authority,221,140.8,,122.1,159.5,118,176.5,,143.9,209.1,103,112.5,,90.6,134.3
E06000004,Stockton-on-Tees,Unitary Authority,317,168.9,,150.2,187.6,152,191.0,,159.9,222.0,165,151.0,,127.8,174.3
E11000007,Tyne and Wear (Met County),Metropolitan County,"1,861",172.5,,164.6,180.4,935,214.3,,200.1,228.4,926,143.9,,134.6,153.3
E08000037,Gateshead,Metropolitan District,341,163.3,,145.9,180.8,174,202.3,,171.5,233.0,167,135.9,,115.1,156.7
E08000021,Newcastle upon Tyne,Metropolitan District,380,160.7,,144.5,177.0,200,203.8,,175.3,232.3,180,129.0,,109.9,148.1
