Area_code,Area_name,Under 18,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
E07000223,Adur, 247 ," 2,755 "," 2,340 "," 2,959 "," 3,326 "," 3,640 "," 4,052 "," 4,366 "," 4,273 "," 3,760 "," 3,431 "," 3,939 "," 3,011 "," 4,333 "
E07000026,Allerdale," 1,024 "," 4,910 "," 3,938 "," 4,192 "," 4,480 "," 4,558 "," 5,413 "," 7,274 "," 7,377 "," 6,899 "," 6,179 "," 6,576 "," 4,471 "," 6,128 "
E07000032,Amber Valley, 427 ," 6,064 "," 5,184 "," 5,838 "," 6,115 "," 6,445 "," 7,845 "," 9,336 "," 9,384 "," 8,182 "," 7,285 "," 7,970 "," 5,776 "," 6,774 "
E07000224,Arun, 546 ," 6,796 "," 5,404 "," 6,349 "," 6,613 "," 7,052 "," 8,212 "," 10,367 "," 11,142 "," 10,472 "," 10,232 "," 12,162 "," 9,422 "," 13,266 "
E07000170,Ashfield, 466 ," 5,989 "," 5,087 "," 6,127 "," 6,257 "," 6,239 "," 7,136 "," 8,687 "," 8,690 "," 7,241 "," 6,359 "," 6,467 "," 5,148 "," 6,000 "
E07000105,Ashford, 533 ," 6,206 "," 5,342 "," 6,522 "," 6,655 "," 6,989 "," 7,668 "," 9,296 "," 8,752 "," 7,220 "," 6,399 "," 7,055 "," 5,259 "," 6,482 "
E07000200,Babergh, 408 ," 4,319 "," 3,154 "," 3,635 "," 3,856 "," 4,482 "," 5,267 "," 6,555 "," 6,815 "," 6,039 "," 5,730 "," 6,566 "," 5,009 "," 6,392 "
E09000002,Barking and Dagenham, 485 ," 7,755 "," 7,141 "," 9,589 "," 11,439 "," 12,058 "," 11,504 "," 11,313 "," 9,747 "," 7,535 "," 5,345 "," 4,330 "," 2,962 "," 4,535 "
E09000003,Barnet," 2,070 "," 16,811 "," 17,411 "," 20,441 "," 22,343 "," 23,614 "," 22,445 "," 21,878 "," 20,214 "," 17,288 "," 14,141 "," 13,390 "," 9,747 "," 14,579 "
E08000016,Barnsley, 829 ," 11,049 "," 10,104 "," 11,665 "," 12,162 "," 11,695 "," 13,444 "," 17,346 "," 16,985 "," 14,930 "," 12,861 "," 12,697 "," 9,311 "," 11,137 "
E07000027,Barrow-in-Furness, 277 ," 3,309 "," 2,932 "," 3,159 "," 3,149 "," 2,976 "," 3,692 "," 4,701 "," 4,816 "," 4,228 "," 3,717 "," 3,966 "," 2,908 "," 3,575 "
E07000066,Basildon, 640 ," 8,229 "," 7,469 "," 9,371 "," 10,084 "," 10,063 "," 10,502 "," 11,998 "," 11,544 "," 9,897 "," 7,961 "," 8,448 "," 5,940 "," 8,168 "
E07000084,Basingstoke and Deane, 712 ," 9,237 "," 8,438 "," 10,639 "," 11,086 "," 11,145 "," 11,712 "," 12,812 "," 12,349 "," 9,949 "," 8,210 "," 8,719 "," 6,200 "," 7,878 "
E07000171,Bassetlaw, 475 ," 5,364 "," 4,582 "," 5,140 "," 5,388 "," 5,579 "," 6,622 "," 8,350 "," 8,766 "," 7,540 "," 6,612 "," 7,112 "," 5,242 "," 6,370 "
E06000022,Bath and North East Somerset, 748 ," 16,073 "," 8,744 "," 9,183 "," 9,172 "," 9,568 "," 10,701 "," 12,031 "," 12,109 "," 10,379 "," 9,138 "," 9,625 "," 7,245 "," 10,578 "
E06000055,Bedford, 690 ," 8,224 "," 7,203 "," 8,868 "," 9,659 "," 10,212 "," 10,398 "," 11,592 "," 11,083 "," 9,365 "," 7,900 "," 8,072 "," 5,685 "," 8,078 "
E09000004,Bexley, 780 ," 10,769 "," 9,066 "," 11,300 "," 12,900 "," 13,728 "," 13,707 "," 15,398 "," 15,269 "," 12,759 "," 10,095 "," 10,051 "," 7,481 "," 11,398 "
E08000025,Birmingham," 3,109 "," 52,775 "," 41,781 "," 49,259 "," 52,854 "," 53,553 "," 53,200 "," 57,411 "," 53,872 "," 46,686 "," 38,749 "," 34,952 "," 26,305 "," 38,565 "
E07000129,Blaby, 379 ," 4,729 "," 4,156 "," 5,027 "," 5,425 "," 5,507 "," 5,953 "," 6,880 "," 6,845 "," 6,085 "," 5,171 "," 5,626 "," 4,163 "," 5,533 "
E06000008,Blackburn with Darwen, 604 ," 7,463 "," 5,729 "," 6,645 "," 7,687 "," 7,754 "," 8,303 "," 9,165 "," 8,559 "," 7,497 "," 6,269 "," 5,862 "," 3,873 "," 5,126 "
E06000009,Blackpool, 707 ," 6,022 "," 5,462 "," 6,492 "," 6,269 "," 6,184 "," 7,445 "," 9,587 "," 10,253 "," 8,736 "," 7,271 "," 7,517 "," 5,601 "," 7,460 "
E07000033,Bolsover, 335 ," 3,923 "," 3,571 "," 3,850 "," 3,915 "," 3,719 "," 4,574 "," 5,955 "," 5,722 "," 5,036 "," 4,233 "," 4,250 "," 3,393 "," 3,776 "
E08000001,Bolton," 2,907 "," 13,079 "," 10,418 "," 12,914 "," 14,418 "," 14,512 "," 16,009 "," 18,164 "," 17,711 "," 15,190 "," 13,127 "," 13,576 "," 9,726 "," 11,945 "
E07000136,Boston, 265 ," 2,923 "," 2,341 "," 2,756 "," 2,983 "," 3,007 "," 3,566 "," 4,097 "," 4,360 "," 3,989 "," 3,596 "," 3,697 "," 2,792 "," 3,788 "
E06000058,"Bournemouth, Christchurch and Poole"," 1,153 "," 20,680 "," 15,691 "," 18,467 "," 20,119 "," 21,018 "," 21,806 "," 24,321 "," 24,756 "," 22,039 "," 19,884 "," 21,675 "," 16,483 "," 25,110 "
E06000036,Bracknell Forest, 677 ," 6,108 "," 5,454 "," 6,777 "," 7,515 "," 7,752 "," 7,819 "," 8,285 "," 7,881 "," 6,582 "," 5,303 "," 4,795 "," 3,417 "," 4,611 "
E08000032,Bradford," 2,062 "," 22,409 "," 18,442 "," 23,289 "," 26,461 "," 27,226 "," 27,644 "," 30,007 "," 29,256 "," 26,615 "," 22,547 "," 21,182 "," 13,724 "," 20,836 "
E07000067,Braintree, 569 ," 7,071 "," 5,924 "," 7,017 "," 7,520 "," 7,957 "," 9,164 "," 10,830 "," 10,270 "," 8,763 "," 7,942 "," 8,578 "," 6,138 "," 7,612 "
E07000143,Breckland, 520 ," 6,307 "," 5,375 "," 6,117 "," 6,074 "," 6,468 "," 7,552 "," 9,296 "," 9,943 "," 8,862 "," 8,445 "," 9,358 "," 7,037 "," 9,241 "
E09000005,Brent," 1,181 "," 16,129 "," 18,119 "," 20,101 "," 20,391 "," 19,565 "," 18,446 "," 18,301 "," 16,844 "," 14,225 "," 10,964 "," 8,614 "," 6,247 "," 8,833 "
E07000068,Brentwood, 254 ," 3,547 "," 3,102 "," 3,659 "," 3,921 "," 4,232 "," 4,537 "," 5,190 "," 5,368 "," 4,341 "," 3,608 "," 3,839 "," 2,887 "," 4,657 "
E06000043,Brighton and Hove, 924 ," 20,680 "," 15,347 "," 16,318 "," 16,297 "," 16,713 "," 17,997 "," 18,915 "," 16,994 "," 12,840 "," 10,316 "," 9,817 "," 6,876 "," 10,084 "
E06000023,"Bristol, City of"," 1,382 "," 35,472 "," 31,087 "," 33,064 "," 29,902 "," 26,442 "," 23,833 "," 24,087 "," 23,376 "," 19,438 "," 16,261 "," 15,451 "," 11,001 "," 16,012 "
E07000144,Broadland, 550 ," 6,161 "," 5,028 "," 5,932 "," 6,339 "," 6,827 "," 7,945 "," 9,445 "," 9,552 "," 8,538 "," 7,978 "," 9,004 "," 6,784 "," 9,580 "
