Area code,Area of usual residence,Geography,"Persons
(Deaths)","Persons
(Rate)","Persons
(Unreliable marker)","Persons
(LCI)","Persons
(UCI)","Males
(Deaths)","Males
(Rate)","Males
(Unreliable marker)","Males
(LCI)","Males
(UCI)","Females
(Deaths)","Females
(Rate)","Females
(Unreliable marker)","Females
(LCI)","Females
(UCI)"
"K04000001, J99000001","England, Wales and Elsewhere",Country,"67,350",113.8,,112.9,114.7,"36,794",143.7,,142.2,145.2,"30,556",90.1,,89.1,91.2
E92000001,England,Country,"63,555",114.0,,113.1,114.8,"34,750",144.0,,142.5,145.5,"28,805",90.1,,89.1,91.2
E12000001,North East,Region,"2,846",103.8,,100.0,107.7,"1,555",130.2,,123.6,136.8,"1,291",82.8,,78.3,87.4
E06000047,County Durham,Unitary Authority,547,98.7,,90.3,107.0,319,127.7,,113.3,142.1,228,74.5,,64.7,84.2
E06000005,Darlington,Unitary Authority,102,85.5,,68.8,102.2,47,86.8,,63.7,115.6,55,82.6,,62.0,107.7
E06000001,Hartlepool,Unitary Authority,119,124.8,,102.2,147.3,53,121.7,,90.6,159.9,66,122.2,,94.2,155.8
E06000002,Middlesbrough,Unitary Authority,174,144.8,,123.1,166.5,93,184.5,,147.5,227.6,81,117.7,,93.3,146.4
E06000057,Northumberland,Unitary Authority,375,93.3,,83.8,102.8,197,112.3,,96.3,128.3,178,77.6,,66.2,89.1
E06000003,Redcar and Cleveland,Unitary Authority,150,95.0,,79.7,110.3,90,131.9,,105.4,162.8,60,67.3,,51.2,86.8
E06000004,Stockton-on-Tees,Unitary Authority,187,98.3,,84.1,112.4,102,121.5,,97.4,145.7,85,79.0,,63.0,97.8
E11000007,Tyne and Wear (Met County),Metropolitan County,"1,192",108.2,,102.0,114.4,654,139.0,,128.1,150.0,538,84.6,,77.4,91.8
E08000037,Gateshead,Metropolitan District,191,89.9,,77.1,102.8,106,115.9,,93.4,138.4,85,70.7,,56.3,87.5
E08000021,Newcastle upon Tyne,Metropolitan District,189,79.1,,67.7,90.4,108,103.4,,83.8,123.1,81,59.6,,47.2,74.2
E08000022,North Tyneside,Metropolitan District,251,114.7,,100.5,128.9,130,143.7,,118.5,169.0,121,92.7,,76.1,109.3
E08000023,South Tyneside,Metropolitan District,228,145.3,,126.3,164.2,120,183.6,,149.4,217.8,108,118.0,,95.7,140.4
E08000024,Sunderland,Metropolitan District,333,122.7,,109.3,136.1,190,163.9,,139.4,188.5,143,91.6,,76.4,106.7
E12000002,North West,Region,"8,581",119.1,,116.6,121.6,"4,694",148.9,,144.6,153.3,"3,887",95.5,,92.4,98.5
E06000008,Blackburn with Darwen,Unitary Authority,240,212.3,,185.0,239.6,150,290.1,,241.4,338.7,90,147.6,,118.5,181.6
E06000009,Blackpool,Unitary Authority,193,131.5,,112.9,150.1,110,173.6,,140.4,206.8,83,100.4,,79.8,124.6
E06000049,Cheshire East,Unitary Authority,377,78.6,,70.6,86.5,201,97.9,,84.2,111.6,176,62.4,,53.1,71.8
E06000050,Cheshire West and Chester,Unitary Authority,387,97.6,,87.9,107.4,211,121.5,,104.9,138.0,176,78.8,,67.1,90.6
E06000006,Halton,Unitary Authority,155,131.6,,110.5,152.6,85,159.8,,126.4,199.0,70,107.4,,83.6,136.0
E06000007,Warrington,Unitary Authority,225,107.5,,93.4,121.7,118,129.9,,105.7,154.0,107,92.1,,74.6,109.6
E10000006,Cumbria,County,717,113.6,,105.2,121.9,361,134.4,,120.2,148.6,356,97.3,,87.1,107.5
E07000026,Allerdale,Non-metropolitan District,185,145.9,,124.8,167.0,86,156.0,,124.2,193.4,99,133.4,,108.1,162.7
E07000027,Barrow-in-Furness,Non-metropolitan District,69,97.4,,75.5,123.6,36,116.9,,80.7,163.3,33,81.2,,55.8,114.2
E07000028,Carlisle,Non-metropolitan District,181,145.8,,124.5,167.1,89,180.1,,143.6,222.8,92,126.2,,101.5,155.0
E07000029,Copeland,Non-metropolitan District,122,158.7,,130.3,187.1,55,158.4,,117.7,208.2,67,152.8,,118.2,194.2
E07000030,Eden,Non-metropolitan District,78,104.2,,82.1,130.4,49,156.6,,114.7,208.4,29,68.2,,44.0,99.7
E07000031,South Lakeland,Non-metropolitan District,82,50.9,,40.4,63.2,46,66.7,,48.6,89.2,36,38.8,,27.0,53.9
E11000001,Greater Manchester (Met County),Metropolitan County,"2,817",118.0,,113.6,122.3,"1,587",149.3,,141.8,156.8,"1,230",92.4,,87.3,97.6
E08000001,Bolton,Metropolitan District,302,117.8,,104.4,131.2,161,137.6,,115.9,159.2,141,99.2,,82.8,115.6
E08000002,Bury,Metropolitan District,211,115.0,,99.5,130.6,112,137.9,,112.0,163.7,99,94.1,,76.4,114.6
E08000003,Manchester,Metropolitan District,462,160.3,,145.4,175.2,257,206.8,,179.9,233.7,205,127.8,,110.2,145.5
E08000004,Oldham,Metropolitan District,271,133.6,,117.7,149.6,151,166.7,,139.8,193.6,120,105.9,,86.9,124.8
E08000005,Rochdale,Metropolitan District,244,126.1,,110.2,142.0,136,158.5,,131.4,185.6,108,101.0,,81.9,120.1
E08000006,Salford,Metropolitan District,211,106.8,,92.3,121.3,133,148.6,,122.8,174.5,78,71.9,,56.7,89.8
E08000007,Stockport,Metropolitan District,277,87.3,,77.0,97.7,163,116.2,,98.2,134.1,114,62.9,,51.2,74.5
E08000008,Tameside,Metropolitan District,275,133.8,,117.8,149.8,165,180.0,,151.4,208.5,110,97.5,,79.2,115.8
E08000009,Trafford,Metropolitan District,208,90.1,,77.8,102.4,116,119.7,,97.8,141.7,92,70.2,,56.4,86.4
E08000010,Wigan,Metropolitan District,356,114.0,,102.0,126.0,193,133.6,,114.1,153.1,163,97.0,,82.0,111.9
E10000017,Lancashire,County,"1,492",114.5,,108.6,120.3,799,141.8,,131.8,151.9,693,93.4,,86.4,100.4
E07000117,Burnley,Non-metropolitan District,156,182.6,,153.9,211.3,78,216.8,,169.3,272.9,78,157.4,,124.1,196.8
E07000118,Chorley,Non-metropolitan District,84,71.1,,56.6,88.2,44,83.9,,60.0,113.8,40,60.3,,43.1,82.2
E07000119,Fylde,Non-metropolitan District,117,98.8,,80.6,117.0,73,147.2,,114.5,186.1,44,62.4,,44.7,84.6
E07000120,Hyndburn,Non-metropolitan District,134,178.7,,148.2,209.2,67,206.3,,158.3,263.8,67,160.7,,124.4,204.3
E07000121,Lancaster,Non-metropolitan District,196,127.5,,109.5,145.4,99,150.4,,121.5,183.9,97,106.9,,86.4,130.8
E07000122,Pendle,Non-metropolitan District,110,126.1,,102.5,149.8,58,150.2,,113.4,195.0,52,106.6,,79.6,140.0
E07000123,Preston,Non-metropolitan District,140,128.9,,107.4,150.5,78,160.0,,125.1,201.2,62,103.9,,79.5,133.4
E07000124,Ribble Valley,Non-metropolitan District,90,114.3,,91.8,140.5,41,125.3,,89.3,170.8,49,107.8,,79.5,142.9
E07000125,Rossendale,Non-metropolitan District,92,136.0,,109.5,167.0,58,196.6,,147.7,256.2,34,89.3,,61.8,124.8
E07000126,South Ribble,Non-metropolitan District,110,92.0,,74.7,109.2,59,113.6,,86.0,147.3,51,73.9,,54.9,97.3
E07000127,West Lancashire,Non-metropolitan District,96,73.1,,59.1,89.4,56,97.1,,73.0,126.6,40,54.4,,38.7,74.4
E07000128,Wyre,Non-metropolitan District,167,102.5,,86.7,118.2,88,129.5,,103.2,160.4,79,85.3,,67.0,106.9
E11000002,Merseyside (Met County),Metropolitan County,"1,978",137.2,,131.1,143.3,"1,072",173.2,,162.7,183.8,906,110.2,,103.0,117.4
E08000011,Knowsley,Metropolitan District,240,173.1,,151.0,195.2,127,216.9,,178.6,255.2,113,143.0,,116.4,169.7
E08000012,Liverpool,Metropolitan District,589,149.9,,137.7,162.1,295,170.7,,150.8,190.6,294,134.7,,119.2,150.2
E08000014,Sefton,Metropolitan District,391,111.4,,100.3,122.6,223,154.8,,134.2,175.4,168,81.8,,69.1,94.5
E08000013,St. Helens,Metropolitan District,310,164.9,,146.3,183.4,175,202.4,,171.6,233.2,135,128.5,,106.7,150.3
E08000015,Wirral,Metropolitan District,448,119.9,,108.8,131.1,252,159.5,,139.6,179.3,196,90.1,,77.4,102.9
E12000003,Yorkshire and The Humber,Region,"5,214",96.1,,93.5,98.7,"2,881",123.8,,119.2,128.4,"2,333",75.3,,72.2,78.4
E06000011,East Riding of Yorkshire,Unitary Authority,354,78.5,,70.2,86.8,192,101.1,,86.3,115.9,162,62.7,,52.9,72.4
E06000010,"Kingston upon Hull, City of",Unitary Authority,323,163.6,,145.5,181.6,187,209.2,,178.0,240.4,136,124.1,,103.1,145.1
E06000012,North East Lincolnshire,Unitary Authority,125,72.9,,60.0,85.7,73,97.9,,76.4,123.4,52,53.3,,39.6,70.2
E06000013,North Lincolnshire,Unitary Authority,114,60.6,,49.4,71.8,79,96.9,,76.2,121.3,35,32.6,,22.6,45.4
E06000014,York,Unitary Authority,183,84.9,,72.6,97.3,84,95.8,,76.3,118.8,99,76.8,,62.2,93.8
E10000023,North Yorkshire,County,461,57.2,,51.9,62.4,259,75.0,,65.7,84.3,202,43.4,,37.3,49.4
E07000163,Craven,Non-metropolitan District,32,37.8,,25.8,53.4,20,54.3,,33.0,84.0,12,23.4,[u],11.9,41.1
E07000164,Hambleton,Non-metropolitan District,86,68.1,,54.4,84.2,47,80.4,,58.7,107.3,39,54.5,,38.6,74.7
E07000165,Harrogate,Non-metropolitan District,119,55.5,,45.5,65.6,65,71.9,,55.4,91.8,54,41.5,,30.8,54.6
E07000166,Richmondshire,Non-metropolitan District,38,62.4,,44.1,85.7,23,88.3,,55.2,133.5,15,43.9,[u],24.5,72.4
E07000167,Ryedale,Non-metropolitan District,41,54.9,,39.0,75.0,25,79.3,,50.3,118.4,16,39.5,[u],22.1,64.8
E07000168,Scarborough,Non-metropolitan District,83,55.1,,43.8,68.5,46,75.1,,54.3,101.0,37,42.3,,29.6,58.4
E07000169,Selby,Non-metropolitan District,62,65.3,,50.0,83.8,33,78.0,,53.0,110.5,29,53.4,,35.7,76.5
E11000003,South Yorkshire (Met County),Metropolitan County,"1,531",113.5,,107.8,119.2,857,146.5,,136.5,156.4,674,88.5,,81.8,95.2
E08000016,Barnsley,Metropolitan District,357,140.9,,126.2,155.5,211,193.7,,166.7,220.7,146,103.7,,86.8,120.5
E08000017,Doncaster,Metropolitan District,336,108.8,,97.1,120.5,187,139.5,,119.0,160.1,149,85.1,,71.4,98.8
E08000018,Rotherham,Metropolitan District,301,110.0,,97.5,122.5,182,153.7,,130.6,176.8,119,76.6,,62.8,90.4
E08000019,Sheffield,Metropolitan District,537,105.1,,96.2,114.0,277,124.3,,109.6,139.1,260,90.2,,79.2,101.3
E11000006,West Yorkshire (Met County),Metropolitan County,"2,123",103.5,,99.1,108.0,"1,150",131.6,,123.8,139.5,973,83.0,,77.8,88.2
E08000032,Bradford,Metropolitan District,532,120.8,,110.5,131.1,288,147.9,,130.5,165.4,244,98.8,,86.3,111.3
E08000033,Calderdale,Metropolitan District,175,85.9,,73.1,98.7,96,117.8,,94.2,145.4,79,65.0,,51.4,81.0
E08000034,Kirklees,Metropolitan District,381,93.6,,84.2,103.1,199,115.1,,98.7,131.6,182,78.6,,67.1,90.0
E08000035,Leeds,Metropolitan District,691,106.4,,98.4,114.4,391,142.9,,128.3,157.4,300,80.1,,71.0,89.2
E08000036,Wakefield,Metropolitan District,344,99.1,,88.6,109.6,176,119.0,,101.0,137.1,168,85.3,,72.4,98.2
E12000004,East Midlands,Region,"5,584",113.3,,110.3,116.3,"3,088",144.7,,139.5,149.9,"2,496",89.1,,85.6,92.6
E06000015,Derby,Unitary Authority,352,149.8,,134.1,165.5,198,201.7,,173.3,230.1,154,111.4,,93.5,129.3
E06000016,Leicester,Unitary Authority,484,199.6,,181.6,217.6,271,255.2,,223.7,286.7,213,158.1,,136.6,179.6
E06000018,Nottingham,Unitary Authority,364,169.6,,152.0,187.2,193,207.0,,177.0,237.0,171,143.7,,121.9,165.6
E06000017,Rutland,Unitary Authority,38,70.6,,49.8,97.1,19,94.3,[u],55.9,148.5,19,55.1,[u],33.1,86.2
E06000061,North Northamptonshire,Unitary Authority,352,105.1,,94.1,116.1,198,140.6,,120.4,160.7,154,80.9,,68.1,93.7
E06000062,West Northamptonshire,Unitary Authority,369,98.3,,88.2,108.4,204,122.8,,105.5,140.1,165,79.5,,67.3,91.6
E10000007,Derbyshire,County,"1,017",113.2,,106.2,120.1,551,143.6,,131.2,155.9,466,91.0,,82.7,99.3
E07000032,Amber Valley,Non-metropolitan District,177,121.8,,103.8,139.8,95,149.4,,120.2,183.5,82,100.7,,80.0,125.1
E07000033,Bolsover,Non-metropolitan District,143,175.9,,146.8,205.0,69,202.1,,153.0,260.8,74,161.0,,126.4,202.3
E07000034,Chesterfield,Non-metropolitan District,130,111.2,,92.0,130.4,69,140.9,,108.6,179.5,61,88.4,,67.5,113.7
E07000035,Derbyshire Dales,Non-metropolitan District,89,89.9,,71.9,111.0,50,128.6,,93.8,171.7,39,66.2,,47.0,90.8
E07000036,Erewash,Non-metropolitan District,152,117.7,,98.9,136.5,88,160.8,,128.6,198.6,64,85.3,,65.4,109.2
E07000037,High Peak,Non-metropolitan District,99,100.7,,81.7,122.7,51,126.1,,92.7,167.2,48,86.0,,63.3,114.1
E07000038,North East Derbyshire,Non-metropolitan District,119,95.6,,78.2,113.0,68,119.9,,92.5,152.7,51,74.6,,55.3,98.3
E07000039,South Derbyshire,Non-metropolitan District,108,104.0,,84.3,123.7,61,136.0,,103.1,175.9,47,81.2,,59.6,108.1
E10000018,Leicestershire,County,722,94.5,,87.6,101.5,407,125.2,,112.7,137.7,315,71.2,,63.3,79.1
E07000129,Blaby,Non-metropolitan District,121,111.6,,91.6,131.6,57,126.1,,94.4,164.8,64,98.2,,75.5,125.6
E07000130,Charnwood,Non-metropolitan District,176,99.2,,84.5,113.8,92,115.5,,92.9,142.0,84,82.7,,65.9,102.5
E07000131,Harborough,Non-metropolitan District,82,74.5,,59.2,92.6,57,128.0,,96.0,167.0,25,39.8,,25.7,58.9
E07000132,Hinckley and Bosworth,Non-metropolitan District,112,88.1,,71.7,104.5,67,125.6,,96.0,161.1,45,61.7,,44.9,82.6
E07000133,Melton,Non-metropolitan District,39,63.7,,45.2,87.2,25,93.9,,60.2,139.4,14,40.1,[u],21.9,67.5
E07000134,North West Leicestershire,Non-metropolitan District,116,109.2,,89.2,129.2,69,153.5,,117.0,197.2,47,78.5,,57.6,104.4
E07000135,Oadby and Wigston,Non-metropolitan District,76,102.9,,80.7,129.3,40,136.4,,97.2,186.1,36,80.7,,55.3,113.3
E10000019,Lincolnshire,County,816,89.4,,83.2,95.6,454,112.4,,101.8,122.9,362,69.5,,62.3,76.7
E07000136,Boston,Non-metropolitan District,61,82.2,,62.8,105.6,39,119.1,,84.2,163.5,22,50.4,,31.4,76.6
E07000137,East Lindsey,Non-metropolitan District,153,75.6,,63.3,88.0,85,91.3,,72.0,114.0,68,61.1,,47.3,77.6
E07000138,Lincoln,Non-metropolitan District,105,126.0,,101.9,150.2,65,191.7,,147.2,245.2,40,79.1,,56.2,108.1
E07000139,North Kesteven,Non-metropolitan District,113,79.1,,64.4,93.8,63,96.0,,73.3,123.3,50,63.9,,47.3,84.5
E07000140,South Holland,Non-metropolitan District,108,89.8,,72.8,106.9,64,122.1,,93.7,156.2,44,62.1,,45.0,83.6
E07000141,South Kesteven,Non-metropolitan District,176,100.3,,85.5,115.2,77,104.3,,82.0,130.8,99,95.1,,77.1,115.9
E07000142,West Lindsey,Non-metropolitan District,100,84.5,,67.8,101.3,61,115.1,,86.9,149.1,39,59.7,,42.4,81.7
E10000024,Nottinghamshire,County,"1,070",118.5,,111.3,125.6,593,151.1,,138.7,163.5,477,92.6,,84.2,100.9
E07000170,Ashfield,Non-metropolitan District,221,176.3,,152.8,199.8,129,233.2,,191.4,275.0,92,130.8,,105.4,160.6
E07000171,Bassetlaw,Non-metropolitan District,97,72.4,,58.6,88.4,58,102.3,,77.0,133.1,39,52.5,,37.2,71.9
E07000172,Broxtowe,Non-metropolitan District,133,106.1,,88.0,124.2,68,120.1,,93.0,152.5,65,92.3,,71.1,117.9
E07000173,Gedling,Non-metropolitan District,151,119.9,,100.5,139.3,80,145.3,,114.5,181.7,71,98.9,,77.0,125.0
E07000174,Mansfield,Non-metropolitan District,212,192.4,,166.4,218.4,116,246.9,,200.5,293.2,96,151.2,,122.4,184.8
E07000175,Newark and Sherwood,Non-metropolitan District,140,100.1,,83.5,116.7,76,122.1,,95.7,153.3,64,81.3,,62.6,103.9
E07000176,Rushcliffe,Non-metropolitan District,116,81.2,,66.4,96.1,66,113.4,,87.4,144.7,50,58.3,,43.0,77.1
E12000005,West Midlands,Region,"7,388",125.8,,122.9,128.6,"4,054",158.8,,153.8,163.8,"3,334",99.3,,95.9,102.7
E06000019,"Herefordshire, County of",Unitary Authority,184,72.7,,62.1,83.3,103,95.8,,77.0,114.6,81,54.4,,43.1,67.7
E06000051,Shropshire,Unitary Authority,297,69.5,,61.6,77.4,167,91.0,,76.9,105.1,130,50.9,,42.1,59.6
E06000021,Stoke-on-Trent,Unitary Authority,392,179.4,,161.4,197.3,221,227.1,,195.8,258.4,171,140.5,,119.4,161.6
E06000020,Telford and Wrekin,Unitary Authority,153,96.5,,81.0,112.0,76,103.4,,80.7,130.3,77,88.0,,69.4,110.1
E10000028,Staffordshire,County,"1,167",118.5,,111.7,125.4,643,151.2,,139.2,163.2,524,93.8,,85.7,101.9
E07000192,Cannock Chase,Non-metropolitan District,153,153.1,,128.8,177.5,86,202.8,,161.1,251.7,67,117.0,,90.6,148.7
E07000193,East Staffordshire,Non-metropolitan District,195,160.2,,137.6,182.8,109,209.6,,169.3,249.9,86,125.7,,100.4,155.5
E07000194,Lichfield,Non-metropolitan District,138,107.4,,89.3,125.4,80,143.8,,113.4,179.8,58,80.4,,60.9,104.1
E07000195,Newcastle-under-Lyme,Non-metropolitan District,161,115.1,,97.3,133.0,94,155.5,,125.2,190.9,67,82.3,,63.6,104.7
E07000196,South Staffordshire,Non-metropolitan District,138,96.0,,79.8,112.2,72,119.3,,92.2,151.5,66,78.8,,60.7,100.7
E07000197,Stafford,Non-metropolitan District,137,86.2,,71.7,100.7,68,96.2,,74.3,122.5,69,76.9,,59.7,97.4
E07000198,Staffordshire Moorlands,Non-metropolitan District,134,111.7,,92.5,130.9,70,132.1,,101.8,168.3,64,96.6,,74.1,123.6
E07000199,Tamworth,Non-metropolitan District,111,154.1,,125.1,183.1,64,215.0,,163.0,277.7,47,113.3,,83.2,150.7
E10000031,Warwickshire,County,494,76.1,,69.4,82.8,280,100.5,,88.6,112.5,214,55.8,,48.2,63.3
E07000218,North Warwickshire,Non-metropolitan District,49,64.3,,47.5,85.0,24,71.1,,44.9,106.8,25,56.5,,36.5,83.4
E07000219,Nuneaton and Bedworth,Non-metropolitan District,128,100.8,,83.2,118.4,75,134.1,,104.4,169.3,53,73.5,,55.0,96.2
E07000220,Rugby,Non-metropolitan District,97,84.7,,68.7,103.4,57,113.6,,85.9,147.4,40,59.3,,42.0,81.1
E07000221,Stratford-on-Avon,Non-metropolitan District,84,45.3,,36.1,56.1,49,62.5,,46.1,82.9,35,31.4,,21.8,43.7
E07000222,Warwick,Non-metropolitan District,136,86.4,,71.8,101.0,75,116.1,,91.1,145.7,61,63.6,,48.3,82.1
E11000005,West Midlands (Met County),Metropolitan County,"4,008",161.8,,156.8,166.8,"2,185",203.2,,194.6,211.8,"1,823",128.9,,122.9,134.9
E08000025,Birmingham,Metropolitan District,"1,535",183.6,,174.4,192.9,856,233.9,,218.0,249.7,679,144.2,,133.2,155.2
E08000026,Coventry,Metropolitan District,355,129.6,,116.1,143.2,192,161.5,,138.2,184.8,163,104.4,,88.2,120.5
E08000027,Dudley,Metropolitan District,403,118.7,,107.0,130.3,214,146.9,,126.8,167.0,189,97.3,,83.3,111.4
E08000028,Sandwell,Metropolitan District,542,201.9,,184.8,219.0,290,247.2,,217.9,276.4,252,163.1,,142.8,183.4
E08000029,Solihull,Metropolitan District,259,102.3,,89.8,114.9,138,131.7,,109.6,153.9,121,78.6,,64.3,92.9
E08000030,Walsall,Metropolitan District,461,174.4,,158.4,190.4,264,231.0,,202.7,259.4,197,130.0,,111.7,148.3
E08000031,Wolverhampton,Metropolitan District,453,186.0,,168.8,203.3,231,217.5,,189.2,245.7,222,160.4,,139.1,181.7
E10000034,Worcestershire,County,693,96.0,,88.8,103.2,379,122.8,,110.3,135.4,314,75.2,,66.8,83.6
E07000234,Bromsgrove,Non-metropolitan District,124,97.1,,79.9,114.3,58,111.2,,84.1,144.2,66,88.8,,68.3,113.4
E07000235,Malvern Hills,Non-metropolitan District,85,67.9,,54.2,84.1,42,80.3,,57.6,108.8,43,56.1,,40.3,75.8
E07000236,Redditch,Non-metropolitan District,104,134.4,,108.5,160.4,65,201.1,,153.1,258.9,39,87.9,,62.4,120.3
E07000237,Worcester,Non-metropolitan District,121,126.7,,104.0,149.3,61,153.4,,116.6,198.1,60,107.1,,81.6,138.1
E07000238,Wychavon,Non-metropolitan District,140,82.6,,68.8,96.4,78,103.4,,81.4,129.4,62,65.9,,50.2,84.9
E07000239,Wyre Forest,Non-metropolitan District,119,93.1,,76.2,109.9,75,133.4,,104.1,168.1,44,59.6,,43.1,80.3
E12000006,East of England,Region,"8,502",126.0,,123.3,128.7,"4,569",157.7,,153.1,162.3,"3,933",101.0,,97.8,104.2
E06000055,Bedford,Unitary Authority,299,173.7,,154.0,193.4,155,210.7,,177.2,244.2,144,148.2,,123.7,172.7
E06000056,Central Bedfordshire,Unitary Authority,328,118.2,,105.4,131.0,182,148.1,,126.3,169.9,146,95.5,,80.0,111.1
E06000032,Luton,Unitary Authority,311,197.5,,175.3,219.7,193,267.4,,229.0,305.8,118,138.4,,113.1,163.6
E06000031,Peterborough,Unitary Authority,221,132.2,,114.7,149.7,120,167.6,,137.0,198.3,101,105.0,,84.4,125.7
E06000033,Southend-on-Sea,Unitary Authority,408,206.6,,186.4,226.7,199,236.0,,203.0,268.9,209,183.2,,157.9,208.4
E06000034,Thurrock,Unitary Authority,266,205.1,,180.1,230.1,149,251.3,,209.5,293.0,117,166.6,,136.2,196.9
E10000003,Cambridgeshire,County,530,77.1,,70.5,83.6,282,96.3,,85.0,107.7,248,61.8,,54.1,69.6
E07000008,Cambridge,Non-metropolitan District,61,63.8,,48.6,82.2,32,78.2,,53.4,110.6,29,50.4,,33.2,72.9
E07000009,East Cambridgeshire,Non-metropolitan District,56,57.5,,43.3,74.7,32,74.9,,50.9,106.3,24,44.6,,28.1,66.9
E07000010,Fenland,Non-metropolitan District,134,106.4,,88.2,124.5,70,130.1,,101.1,164.6,64,86.4,,66.2,110.8
E07000011,Huntingdonshire,Non-metropolitan District,146,77.2,,64.7,89.8,81,100.8,,79.6,125.8,65,59.8,,46.1,76.3
E07000012,South Cambridgeshire,Non-metropolitan District,133,76.6,,63.6,89.6,67,94.5,,73.0,120.3,66,63.7,,49.2,81.1
E10000012,Essex,County,"2,541",154.7,,148.7,160.8,"1,363",193.4,,183.0,203.7,"1,178",123.8,,116.7,131.0
E07000066,Basildon,Non-metropolitan District,297,172.1,,152.5,191.7,165,226.7,,191.7,261.8,132,132.5,,109.8,155.3
E07000067,Braintree,Non-metropolitan District,287,174.3,,154.2,194.5,150,212.2,,177.8,246.6,137,143.6,,119.4,167.8
E07000068,Brentwood,Non-metropolitan District,103,116.0,,93.3,138.6,52,137.6,,102.6,180.6,51,96.8,,71.5,128.1
E07000069,Castle Point,Non-metropolitan District,256,221.2,,193.8,248.6,133,260.5,,215.5,305.6,123,188.1,,154.4,221.8
E07000070,Chelmsford,Non-metropolitan District,258,136.2,,119.6,152.9,141,170.0,,141.8,198.2,117,108.6,,88.8,128.4
E07000071,Colchester,Non-metropolitan District,237,133.8,,116.7,150.9,133,170.0,,140.6,199.5,104,101.7,,82.1,121.3
E07000072,Epping Forest,Non-metropolitan District,204,140.7,,121.3,160.1,132,215.6,,178.6,252.5,72,84.6,,65.8,106.9
E07000073,Harlow,Non-metropolitan District,119,157.9,,129.3,186.4,63,196.2,,150.2,251.7,56,127.4,,95.9,165.8
E07000074,Maldon,Non-metropolitan District,110,132.1,,107.3,156.8,55,166.4,,123.5,218.7,55,110.1,,82.9,143.5
E07000075,Rochford,Non-metropolitan District,165,157.8,,133.5,182.1,91,200.9,,160.6,248.1,74,122.6,,96.1,154.2
E07000076,Tendring,Non-metropolitan District,419,187.7,,169.5,206.0,207,216.4,,186.2,246.6,212,165.3,,142.5,188.0
E07000077,Uttlesford,Non-metropolitan District,86,83.7,,66.9,103.4,41,95.5,,68.2,130.0,45,73.1,,53.1,98.1
E10000015,Hertfordshire,County,"1,467",125.2,,118.8,131.7,826,168.3,,156.8,179.9,641,92.6,,85.3,99.9
E07000095,Broxbourne,Non-metropolitan District,132,139.1,,115.2,163.0,78,189.0,,149.0,236.4,54,99.3,,74.3,129.9
E07000096,Dacorum,Non-metropolitan District,194,125.9,,108.1,143.7,98,151.6,,122.9,185.0,96,104.8,,84.5,128.3
E07000242,East Hertfordshire,Non-metropolitan District,142,92.0,,76.9,107.2,92,145.2,,116.8,178.5,50,55.4,,40.9,73.2
E07000098,Hertsmere,Non-metropolitan District,130,117.8,,97.4,138.1,83,180.2,,143.4,223.5,47,69.0,,50.4,92.1
E07000099,North Hertfordshire,Non-metropolitan District,207,143.2,,123.6,162.8,103,177.8,,142.9,212.7,104,117.8,,94.8,140.7
E07000240,St Albans,Non-metropolitan District,172,114.9,,97.6,132.3,102,158.9,,127.9,189.9,70,80.5,,62.4,102.0
E07000243,Stevenage,Non-metropolitan District,99,125.9,,102.2,153.6,47,146.4,,107.1,195.3,52,112.4,,83.4,148.2
E07000102,Three Rivers,Non-metropolitan District,122,125.7,,103.3,148.2,65,161.6,,124.5,206.2,57,100.2,,75.4,130.4
E07000103,Watford,Non-metropolitan District,114,151.5,,123.5,179.6,76,232.7,,182.4,292.3,38,90.7,,63.9,124.9
E07000241,Welwyn Hatfield,Non-metropolitan District,155,137.2,,115.3,159.1,82,177.2,,140.8,220.3,73,108.1,,84.0,136.7
E10000020,Norfolk,County,"1,326",110.5,,104.5,116.4,666,131.6,,121.5,141.8,660,93.7,,86.4,100.9
E07000143,Breckland,Non-metropolitan District,211,109.7,,94.8,124.6,103,126.2,,101.4,150.9,108,95.9,,77.5,114.3
E07000144,Broadland,Non-metropolitan District,236,126.2,,110.0,142.5,120,154.3,,126.2,182.5,116,104.2,,85.1,123.4
E07000145,Great Yarmouth,Non-metropolitan District,177,138.9,,118.3,159.5,89,160.8,,128.6,198.5,88,122.3,,97.7,151.1
E07000146,King's Lynn and West Norfolk,Non-metropolitan District,245,121.4,,106.1,136.8,126,149.3,,122.5,176.1,119,101.0,,82.7,119.4
