Area,All Ages,Age 0 - 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Aged 85+
lacu2023:Hartlepool,"92,575","4,967","5,538","5,947","5,285","5,155","5,458","5,899","5,526","5,094","5,316","6,607","7,082","6,365","5,257","5,084","3,272","2,465","2,258"
lacu2023:Middlesbrough,"143,943","8,898","9,721","9,508","8,636","9,984","10,306","10,263","9,508","8,061","7,883","8,672","9,396","8,736","7,259","6,466","4,404","3,204","3,038"
lacu2023:Redcar and Cleveland,"136,605","6,741","7,802","8,025","7,234","6,549","7,435","7,904","7,683","7,251","7,820","9,897","10,725","9,602","8,524","8,661","6,460","4,488","3,804"
lacu2023:Stockton-on-Tees,"197,032","10,602","12,372","13,061","10,911","9,562","11,889","13,037","13,173","12,141","11,948","13,910","14,069","12,839","10,863","10,285","7,007","4,979","4,384"
lacu2023:Darlington,"108,210","5,472","6,319","6,651","5,959","5,346","6,378","6,963","6,631","6,687","6,819","7,762","7,935","7,017","6,003","6,014","4,228","3,129","2,897"
lacu2023:County Durham,"521,447","24,545","28,212","29,549","30,673","32,827","28,974","30,711","30,686","29,368","31,102","37,884","39,574","35,347","31,077","30,747","22,111","15,014","13,046"
lacu2023:Northumberland,"321,532","14,192","16,645","17,404","16,025","14,003","15,839","17,060","17,433","17,444","19,375","23,241","25,705","24,885","22,690","23,071","16,158","10,553","9,809"
lacu2023:Newcastle upon Tyne,"298,545","15,499","16,716","16,489","21,366","36,574","23,453","21,223","19,679","17,052","15,960","16,809","17,319","15,537","12,816","11,814","8,015","5,976","6,248"
lacu2023:North Tyneside,"209,128","10,856","11,962","12,087","10,668","9,434","12,059","13,878","14,277","13,744","13,481","14,590","15,211","13,668","12,171","11,855","8,081","5,585","5,521"
lacu2023:South Tyneside,"147,919","7,759","8,540","8,630","7,585","7,247","8,601","9,793","9,501","8,536","8,579","10,352","11,219","10,517","8,816","8,373","5,742","4,219","3,910"
lacu2023:Sunderland,"274,378","13,765","15,209","16,037","14,719","15,119","16,954","18,026","17,167","15,789","16,451","19,529","19,966","19,008","16,163","15,518","10,449","7,649","6,860"
lacu2023:Gateshead,"196,179","10,008","11,048","11,264","10,126","10,321","12,705","13,122","13,050","11,868","11,872","13,897","14,252","12,663","10,654","10,787","7,485","5,792","5,265"
lacu2023:Halton,"128,570","6,911","7,860","8,070","7,261","6,739","7,845","8,521","8,521","7,994","8,284","9,074","9,125","8,189","7,255","7,193","4,368","2,845","2,515"
lacu2023:Warrington,"211,182","10,538","12,301","12,869","11,358","10,436","12,408","13,870","14,218","13,707","14,115","16,014","15,937","13,049","10,680","10,747","8,315","5,842","4,778"
lacu2023:Blackburn with Darwen,"154,954","10,034","11,134","11,747","11,005","9,465","9,985","10,679","10,831","10,041","9,795","10,282","9,406","8,000","6,758","6,199","4,129","2,862","2,602"
lacu2023:Blackpool,"140,976","7,299","7,873","7,895","7,458","7,324","8,446","9,506","8,572","7,722","8,481","10,550","11,051","9,437","7,762","7,805","5,909","4,115","3,771"
lacu2023:Cheshire East,"400,474","19,952","22,091","22,918","20,311","17,617","21,640","24,367","24,681","24,034","26,029","30,389","30,535","25,920","22,422","24,354","18,422","12,488","12,304"
lacu2023:Cheshire West and Chester,"357,730","17,487","19,790","20,418","18,940","19,543","21,114","22,607","22,410","20,959","22,657","26,067","26,589","22,847","19,896","20,536","15,334","10,670","9,866"
lacu2023:Cumberland,"273,788","12,784","14,552","15,152","13,628","13,316","15,690","16,078","15,873","14,686","16,420","20,409","21,581","19,932","17,098","17,647","12,247","8,701","7,994"
lacu2023:Westmorland and Furness,"226,941","9,455","10,699","11,653","11,565","10,189","11,995","12,526","12,118","11,731","13,524","17,289","18,599","17,038","14,936","16,011","11,892","8,220","7,501"
lacu2023:Bolton,"296,169","18,265","20,322","20,977","18,626","16,615","17,692","19,994","19,954","18,504","18,536","20,114","19,278","16,289","13,903","14,161","10,256","6,838","5,845"
lacu2023:Bury,"193,866","11,098","12,429","12,839","11,456","9,518","11,420","13,401","13,360","12,117","12,398","13,423","13,498","11,272","9,476","9,889","7,143","4,834","4,295"
lacu2023:Manchester,"550,630","34,005","36,418","36,398","40,540","61,646","52,810","47,993","42,126","35,960","31,142","30,337","26,954","21,695","16,726","13,878","9,306","6,632","6,064"
lacu2023:Oldham,"242,003","15,897","17,350","17,992","16,488","14,140","14,829","16,635","16,243","15,167","14,670","15,980","15,088","12,703","10,856","10,619","7,688","5,346","4,312"
lacu2023:Rochdale,"224,127","14,501","15,502","15,790","13,737","12,216","13,947","15,848","15,355","14,224","13,848","15,106","14,441","12,550","10,880","10,353","7,061","4,611","4,157"
lacu2023:Salford,"270,866","17,203","16,713","16,111","15,253","22,993","26,553","24,703","20,588","16,386","14,984","15,479","15,073","12,787","9,719","9,883","6,982","5,025","4,431"
lacu2023:Stockport,"295,268","16,512","18,037","17,917","15,186","13,357","16,765","20,031","20,517","19,584","18,941","20,607","20,436","17,774","15,363","15,578","11,757","8,489","8,417"
lacu2023:Tameside,"231,220","13,539","14,676","14,876","12,727","11,854","14,815","16,582","15,859","14,335","14,476","16,559","16,332","13,887","11,190","11,531","8,154","5,349","4,479"
lacu2023:Trafford,"235,586","13,304","15,950","16,540","13,676","10,645","12,498","14,844","17,221","17,466","16,356","16,568","15,914","13,135","10,810","10,688","8,034","6,004","5,933"
lacu2023:Wigan,"329,796","17,651","19,206","19,821","17,755","16,933","20,639","22,914","21,799","19,748","21,011","25,044","23,369","19,923","16,902","18,326","13,716","8,546","6,493"
lacu2023:Knowsley,"154,978","9,793","9,506","9,168","8,563","8,484","10,617","11,774","10,416","8,647","8,665","10,650","11,700","10,555","8,304","6,930","4,474","3,495","3,237"
lacu2023:Liverpool,"485,022","26,298","26,778","25,338","31,627","49,388","38,099","37,596","33,351","27,961","26,381","29,069","30,484","27,751","22,650","19,973","13,503","9,925","8,850"
lacu2023:St. Helens,"183,394","9,599","10,310","10,625","9,547","9,357","11,414","12,255","11,776","10,729","11,596","13,468","13,333","11,578","9,928","10,504","7,736","5,212","4,427"
lacu2023:Sefton,"279,693","13,492","15,088","15,330","14,231","13,467","15,058","17,152","16,929","15,672","16,463","20,070","21,596","19,987","16,881","16,605","12,626","9,556","9,490"
lacu2023:Wirral,"320,631","16,233","18,691","19,319","17,373","15,062","17,730","19,718","19,272","18,388","19,529","22,921","23,904","21,672","18,939","19,110","13,702","9,676","9,392"
lacu2023:Lancashire,"1,236,228","63,267","70,786","73,603","73,151","72,788","70,447","77,002","75,361","70,925","75,042","87,702","89,305","78,909","67,877","70,628","52,019","34,988","32,428"
"lacu2023:Kingston upon Hull, City of","266,516","15,792","17,206","16,781","15,386","19,092","20,000","20,795","18,816","15,890","16,178","17,269","17,182","15,011","12,297","11,352","7,310","5,197","4,962"
lacu2023:East Riding of Yorkshire,"343,145","14,681","17,324","18,430","17,173","14,540","16,646","18,012","18,119","17,978","21,168","25,622","27,302","25,085","23,194","25,188","18,450","12,609","11,624"
lacu2023:North East Lincolnshire,"157,188","8,360","9,507","9,599","8,628","7,912","9,213","10,404","9,544","8,500","9,225","11,110","11,799","10,347","8,809","8,815","6,366","4,634","4,416"
lacu2023:North Lincolnshire,"169,929","8,406","9,604","10,139","9,085","8,114","9,531","10,662","10,377","9,325","10,173","12,532","12,990","11,475","10,048","10,226","7,460","4,987","4,795"
lacu2023:York,"201,851","8,565","9,871","10,299","14,064","20,340","12,856","12,930","12,499","12,023","11,776","13,321","12,977","11,327","9,802","10,396","7,701","5,497","5,607"
lacu2023:North Yorkshire,"618,627","27,532","31,277","33,669","32,905","26,792","31,486","34,010","33,337","33,466","37,255","46,533","49,761","45,588","40,125","42,082","31,190","21,133","20,486"
lacu2023:Barnsley,"244,887","13,357","14,277","14,439","12,517","12,377","15,933","16,990","15,657","14,007","14,964","18,718","18,067","15,679","13,418","13,049","9,715","6,255","5,468"
lacu2023:Doncaster,"308,697","16,914","18,081","18,684","16,390","16,122","19,986","21,929","20,206","18,163","18,454","21,818","22,033","19,672","16,640","16,361","11,675","8,013","7,556"
lacu2023:Rotherham,"266,173","14,535","15,989","16,536","14,772","14,020","16,303","18,044","17,024","15,387","16,411","19,448","18,657","16,496","14,096","14,185","10,789","7,261","6,220"
lacu2023:Sheffield,"555,035","29,977","32,010","32,102","35,885","50,125","40,407","39,137","35,276","32,221","32,019","36,235","34,620","29,730","24,850","24,491","19,247","13,684","13,019"
lacu2023:Bradford,"546,839","35,806","39,400","41,299","38,274","33,221","34,298","37,870","38,123","35,915","33,578","34,402","32,211","28,942","24,244","22,393","14,742","11,098","11,023"
lacu2023:Calderdale,"206,828","11,228","12,796","13,285","11,831","10,172","11,931","12,929","13,006","12,708","13,606","15,734","15,136","12,970","10,906","11,072","7,815","5,014","4,689"
lacu2023:Kirklees,"433,458","24,955","27,454","28,649","27,079","25,719","26,448","28,294","28,205","27,255","27,793","30,960","28,610","24,773","20,972","21,501","15,148","10,269","9,374"
lacu2023:Leeds,"809,479","46,395","49,557","48,365","49,861","69,406","60,266","60,484","56,826","52,040","48,782","50,936","48,258","40,863","33,867","34,177","24,535","17,433","17,428"
lacu2023:Wakefield,"353,803","19,926","21,034","20,933","18,175","17,775","23,462","25,258","23,824","20,893","22,278","26,427","25,062","21,706","18,453","18,509","13,510","8,873","7,705"
lacu2023:Derby,"261,260","15,122","16,832","17,096","16,172","18,353","18,280","18,345","18,210","16,606","16,267","17,267","16,259","13,394","11,363","11,103","8,294","6,064","6,233"
lacu2023:Leicester,"366,940","22,004","24,803","25,443","27,427","35,396","27,284","27,411","27,219","24,702","22,592","21,958","19,494","17,391","14,026","11,393","7,415","5,480","5,502"
lacu2023:Rutland,"41,342","1,627","1,974","2,442","2,910","1,958","2,179","2,218","2,214","2,355","2,429","2,964","2,951","2,735","2,471","2,797","2,203","1,458","1,457"
lacu2023:Nottingham,"319,978","17,645","19,273","18,859","28,087","43,674","23,923","24,113","21,336","18,483","17,475","17,854","17,106","14,036","11,009","9,805","6,931","5,069","5,300"
lacu2023:North Northamptonshire,"360,418","20,139","22,381","23,358","20,312","17,727","22,115","24,867","24,538","23,350","23,724","26,520","25,035","20,729","17,908","18,377","13,388","8,234","7,716"
lacu2023:West Northamptonshire,"426,707","23,959","26,340","26,873","24,130","24,079","27,145","30,768","29,822","28,712","28,500","30,353","29,003","23,717","19,891","20,418","14,723","9,317","8,957"
