"area_code","area_name","death_rate2020","death_rate2021","std_vax","IMD_score","pop_dens","pop_dens_binary","imd_binary"
"E06000047","County Durham",194.8,98.7,0.709118543579087,26.793,234,"Below median","Above median"
"E06000005","Darlington",153.4,85.5,0.686973722550705,25.657,548,"Below median","Above median"
"E06000001","Hartlepool",176.9,124.8,0.677030816430698,35.037,986,"Above median","Above median"
"E06000002","Middlesbrough",212.6,144.8,0.659360581311185,40.46,2671,"Above median","Above median"
"E06000057","Northumberland",113.8,93.3,0.721587306347661,22.079,64,"Below median","Above median"
"E06000003","Redcar and Cleveland",140.8,95,0.690433558617555,29.792,557,"Below median","Above median"
"E06000004","Stockton-on-Tees",168.9,98.3,0.679192193382295,25.79,961,"Above median","Above median"
"E08000037","Gateshead",163.3,89.9,0.692957814112478,28.217,1378,"Above median","Above median"
"E08000021","Newcastle upon Tyne",160.7,79.1,0.662313614067601,29.79,2632,"Above median","Above median"
"E08000022","North Tyneside",122,114.7,0.705975964604633,22.279,2536,"Above median","Above median"
"E08000023","South Tyneside",193.9,145.3,0.688603092521854,31.509,2296,"Above median","Above median"
"E08000024","Sunderland",221.4,122.7,0.703904529970661,30.586,1997,"Above median","Above median"
"E06000008","Blackburn with Darwen",226.3,212.3,0.648299906644772,36.013,1131,"Above median","Above median"
"E06000009","Blackpool",174.5,131.5,0.67154825025256,45.039,4040,"Above median","Above median"
"E06000049","Cheshire East",134,78.6,0.705784164294147,14.475,343,"Below median","Below median"
"E06000050","Cheshire West and Chester",140.5,97.6,0.689994331794898,18.083,389,"Below median","Below median"
"E06000006","Halton",152.7,131.6,0.672578447039106,32.325,1626,"Above median","Above median"
"E06000007","Warrington",176.1,107.5,0.689201038583408,18.942,1169,"Above median","Above median"
"E08000001","Bolton",198.8,117.8,0.662309592343995,30.691,2119,"Above median","Above median"
"E08000002","Bury",220.6,115,0.66800765553663,23.682,1949,"Above median","Above median"
"E08000003","Manchester",238.7,160.3,0.633285293407229,40.005,4761,"Above median","Above median"
"E08000004","Oldham",252.2,133.6,0.64285922952415,33.155,1700,"Above median","Above median"
"E08000005","Rochdale",249.8,126.1,0.642222406121185,34.415,1417,"Above median","Above median"
"E08000006","Salford",269.4,106.8,0.618626066830518,34.21,2787,"Above median","Above median"
"E08000007","Stockport",151.1,87.3,0.702531867610034,20.826,2342,"Above median","Above median"
"E08000008","Tameside",266,133.8,0.660171319188434,31.374,2242,"Above median","Above median"
"E08000009","Trafford",150.8,90.1,0.708491904334573,16.088,2222,"Above median","Below median"
"E08000010","Wigan",231,114,0.669145305945029,25.713,1753,"Above median","Above median"
"E07000117","Burnley",204.7,182.6,0.618781670186178,37.793,856,"Below median","Above median"
"E07000118","Chorley",165.1,71.1,0.678616564326188,16.863,582,"Below median","Below median"
"E07000119","Fylde",145.9,98.8,0.697241391416039,15.875,493,"Below median","Below median"
"E07000120","Hyndburn",168.6,178.7,0.634374316729436,34.333,1127,"Above median","Above median"
"E07000121","Lancaster",95.2,127.5,0.71643837558164,24.165,251,"Below median","Above median"
"E07000122","Pendle",206.4,126.1,0.623443676217223,30.723,566,"Below median","Above median"
"E07000123","Preston",211.9,128.9,0.661634343964701,29.531,1039,"Above median","Above median"
"E07000124","Ribble Valley",96.9,114.3,0.721854872753345,10.594,106,"Below median","Below median"
"E07000125","Rossendale",151,136,0.656510052277804,24.062,514,"Below median","Above median"
"E07000126","South Ribble",127.5,92,0.706831235544582,15.33,982,"Above median","Below median"
"E07000127","West Lancashire",156.7,73.1,0.673743760652028,18.645,338,"Below median","Above median"
"E07000128","Wyre",140.6,102.5,0.701332798304851,20.858,398,"Below median","Above median"
"E08000011","Knowsley",172.6,173.1,0.632395624304747,43.006,1792,"Above median","Above median"
"E08000012","Liverpool",240.9,149.9,0.627356699843772,42.412,4337,"Above median","Above median"
"E08000014","Sefton",142,111.4,0.657656556520832,27.035,1786,"Above median","Above median"
"E08000013","St. Helens",157.9,164.9,0.674726517266827,31.518,1345,"Above median","Above median"
"E08000015","Wirral",152.1,119.9,0.688647773157072,29.589,1992,"Above median","Above median"
"E06000011","East Riding of Yorkshire",115.7,78.5,0.716571511847622,15.605,143,"Below median","Below median"
"E06000010","Kingston upon Hull, City of",203.4,163.6,0.644910193223611,40.564,3723,"Above median","Above median"
"E06000012","North East Lincolnshire",113.2,72.9,0.673540664929573,31.335,816,"Below median","Above median"
"E06000013","North Lincolnshire",108.6,60.6,0.687160306458434,22.096,201,"Below median","Above median"
"E06000014","York",95.8,84.9,0.71403939843282,11.727,742,"Below median","Below median"
"E08000016","Barnsley",209,140.9,0.684520254345524,29.933,744,"Below median","Above median"
"E08000017","Doncaster",198.3,108.8,0.671242614014081,30.289,543,"Below median","Above median"
"E08000018","Rotherham",218.1,110,0.697617653692436,29.55,929,"Below median","Above median"
"E08000019","Sheffield",172,105.1,0.688050216607751,27.06,1509,"Above median","Above median"
